session_id,facility_id,facility_name,county,mentor_id,provider_id,provider_cadre,session_date,session_type,scenario,steps_expected,steps_done_correctly,teamwork_score,communication_score,guideline_adherence_score,overall_competence_level,followup_required,followup_type
S00015,F023,F023 Facility,Kakamega,M003,P107,clinical_officer,2024-08-27,simulation_drill,neonatal_resuscitation,16,7,4,4,5,beginner,True,repeat_drill
S00016,F019,F019 Facility,Busia,M010,P019,clinical_officer,2025-07-30,bedside_coaching,eclampsia,16,16,4,2,2,advanced,False,none
S00017,F030,F030 Facility,Kiambu,M020,P029,nurse_midwife,2024-10-10,bedside_coaching,PPH,15,12,2,4,2,intermediate,True,none
S00018,F020,F020 Facility,Kisumu,M002,P028,nurse_midwife,2025-03-29,bedside_coaching,sepsis,9,4,2,5,2,beginner,True,repeat_drill
S00019,F013,F013 Facility,Kiambu,M009,P110,clinical_officer,2024-11-14,CME_session,routine_delivery,14,12,3,2,5,advanced,False,none
S00020,F005,F005 Facility,Kakamega,M004,P069,clinical_officer,2025-08-10,bedside_coaching,routine_delivery,16,7,3,3,4,beginner,True,repeat_drill
S00021,F009,F009 Facility,Kakamega,M015,P019,clinical_officer,2025-05-25,bedside_coaching,eclampsia,8,6,2,3,5,intermediate,True,none
S00022,F028,F028 Facility,Murang'a,M019,P010,clinical_officer,2024-01-08,CME_session,neonatal_resuscitation,14,6,4,2,5,beginner,True,repeat_drill
S00023,F024,F024 Facility,Machakos,M001,P009,clinical_officer,2024-02-27,CME_session,sepsis,11,6,5,5,3,beginner,True,repeat_drill
S00024,F027,F027 Facility,Busia,M018,P102,clinical_officer,2025-07-22,CME_session,eclampsia,10,6,4,4,2,intermediate,True,none
S00025,F026,F026 Facility,Kakamega,M015,P012,nurse_midwife,2025-03-02,bedside_coaching,sepsis,15,5,4,5,4,beginner,True,repeat_drill
S00026,F004,F004 Facility,Bungoma,M014,P059,nurse_midwife,2024-12-09,bedside_coaching,PPH,13,11,2,2,3,intermediate,True,none
S00027,F002,F002 Facility,Busia,M001,P089,clinical_officer,2025-06-23,CME_session,eclampsia,8,6,4,5,5,intermediate,True,none
S00028,F021,F021 Facility,Machakos,M011,P018,clinical_officer,2025-04-16,bedside_coaching,PPH,14,7,4,2,3,beginner,True,repeat_drill
S00029,F007,F007 Facility,Kisumu,M018,P007,clinical_officer,2024-03-08,CME_session,sepsis,16,15,3,2,4,advanced,False,none
S00030,F007,F007 Facility,Kakamega,M020,P112,clinical_officer,2025-07-07,bedside_coaching,eclampsia,10,7,3,2,2,intermediate,True,none
S00031,F003,F003 Facility,Murang'a,M019,P106,nurse_midwife,2024-01-10,CME_session,PPH,11,10,4,2,2,advanced,False,none
S00032,F008,F008 Facility,Busia,M010,P107,nurse_midwife,2024-04-18,bedside_coaching,PPH,14,11,4,5,4,intermediate,True,none
S00033,F024,F024 Facility,Nairobi,M018,P063,nurse_midwife,2024-02-17,CME_session,neonatal_resuscitation,10,7,2,3,5,intermediate,True,none
S00034,F024,F024 Facility,Nairobi,M013,P078,nurse_midwife,2025-08-12,simulation_drill,routine_delivery,12,7,3,5,4,beginner,True,repeat_drill
S00035,F017,F017 Facility,Murang'a,M019,P117,clinical_officer,2024-03-22,bedside_coaching,eclampsia,14,7,5,5,5,beginner,True,repeat_drill
S00036,F029,F029 Facility,Kiambu,M006,P077,clinical_officer,2025-08-07,CME_session,neonatal_resuscitation,15,12,3,5,2,intermediate,True,none
S00037,F012,F012 Facility,Kakamega,M015,P119,nurse_midwife,2024-09-28,simulation_drill,eclampsia,16,16,4,4,3,advanced,False,none
S00038,F026,F026 Facility,Busia,M002,P102,clinical_officer,2024-12-11,bedside_coaching,PPH,15,5,4,5,3,beginner,True,repeat_drill
S00039,F009,F009 Facility,Kakamega,M018,P069,clinical_officer,2025-03-28,CME_session,routine_delivery,16,7,4,2,2,beginner,True,repeat_drill
S00040,F008,F008 Facility,Kiambu,M002,P057,clinical_officer,2024-03-23,bedside_coaching,eclampsia,11,9,2,2,3,intermediate,True,none
S00041,F009,F009 Facility,Kakamega,M006,P070,nurse_midwife,2024-11-14,simulation_drill,neonatal_resuscitation,11,10,5,3,4,advanced,False,none
S00042,F016,F016 Facility,Bungoma,M006,P028,clinical_officer,2024-06-15,bedside_coaching,eclampsia,11,7,3,2,2,intermediate,True,none
S00043,F008,F008 Facility,Kakamega,M013,P084,clinical_officer,2024-09-11,simulation_drill,PPH,13,9,2,4,4,intermediate,True,none
S00044,F020,F020 Facility,Bungoma,M016,P059,nurse_midwife,2024-02-28,bedside_coaching,routine_delivery,16,10,2,2,4,intermediate,True,none
S00045,F013,F013 Facility,Busia,M001,P077,clinical_officer,2024-04-30,simulation_drill,PPH,14,6,3,4,5,beginner,True,repeat_drill
S00046,F024,F024 Facility,Machakos,M013,P018,nurse_midwife,2024-02-28,CME_session,routine_delivery,13,13,2,3,2,advanced,False,none
S00047,F012,F012 Facility,Busia,M001,P103,nurse_midwife,2024-09-19,bedside_coaching,neonatal_resuscitation,13,9,2,4,5,intermediate,True,none
S00048,F028,F028 Facility,Bungoma,M015,P115,nurse_midwife,2025-05-23,bedside_coaching,sepsis,11,5,3,3,2,beginner,True,repeat_drill
S00049,F006,F006 Facility,Kiambu,M019,P023,nurse_midwife,2025-07-31,CME_session,PPH,15,11,4,3,5,intermediate,True,none
S00050,F001,F001 Facility,Kiambu,M013,P090,nurse_midwife,2025-04-12,simulation_drill,PPH,11,10,3,3,4,advanced,False,none
S00051,F017,F017 Facility,Murang'a,M015,P115,clinical_officer,2025-01-09,bedside_coaching,sepsis,10,7,5,4,5,intermediate,True,none
S00052,F013,F013 Facility,Kisumu,M004,P098,clinical_officer,2025-06-01,bedside_coaching,eclampsia,11,6,5,2,5,beginner,True,repeat_drill
S00053,F015,F015 Facility,Kisumu,M012,P068,clinical_officer,2025-03-25,CME_session,neonatal_resuscitation,15,9,5,4,4,intermediate,True,none
S00054,F003,F003 Facility,Machakos,M019,P031,clinical_officer,2025-01-30,CME_session,eclampsia,12,6,4,2,5,beginner,True,repeat_drill
S00055,F012,F012 Facility,Machakos,M007,P042,nurse_midwife,2024-03-29,CME_session,sepsis,10,9,5,5,3,advanced,False,none
S00056,F009,F009 Facility,Kiambu,M016,P086,clinical_officer,2025-03-27,bedside_coaching,sepsis,12,8,5,3,5,intermediate,True,none
S00057,F022,F022 Facility,Kiambu,M017,P069,clinical_officer,2024-07-02,bedside_coaching,sepsis,8,4,5,2,5,beginner,True,repeat_drill
S00058,F022,F022 Facility,Bungoma,M006,P002,clinical_officer,2024-02-01,CME_session,neonatal_resuscitation,15,10,5,4,5,intermediate,True,none
S00059,F006,F006 Facility,Machakos,M009,P099,clinical_officer,2024-12-04,simulation_drill,routine_delivery,9,7,5,4,2,intermediate,True,none
S00060,F012,F012 Facility,Murang'a,M010,P115,nurse_midwife,2024-08-27,CME_session,routine_delivery,9,5,3,5,2,beginner,True,repeat_drill
S00061,F018,F018 Facility,Bungoma,M004,P118,clinical_officer,2025-03-23,bedside_coaching,PPH,16,11,2,5,2,intermediate,True,none
S00062,F026,F026 Facility,Kisumu,M015,P005,nurse_midwife,2024-12-08,bedside_coaching,eclampsia,11,9,3,5,4,intermediate,True,none
S00063,F003,F003 Facility,Machakos,M011,P020,clinical_officer,2025-05-12,CME_session,sepsis,12,8,3,4,2,intermediate,True,none
S00064,F013,F013 Facility,Murang'a,M006,P103,clinical_officer,2024-05-07,simulation_drill,eclampsia,10,4,2,2,2,beginner,True,repeat_drill
S00065,F005,F005 Facility,Kiambu,M002,P005,clinical_officer,2025-03-29,CME_session,neonatal_resuscitation,12,10,4,4,5,intermediate,True,none
S00066,F022,F022 Facility,Busia,M007,P020,nurse_midwife,2024-08-22,CME_session,PPH,11,8,3,3,2,intermediate,True,none
S00067,F018,F018 Facility,Murang'a,M009,P080,nurse_midwife,2025-01-01,CME_session,routine_delivery,14,12,2,4,5,advanced,False,none
S00068,F020,F020 Facility,Busia,M015,P115,clinical_officer,2025-06-06,bedside_coaching,neonatal_resuscitation,11,7,5,3,5,intermediate,True,none
S00069,F004,F004 Facility,Murang'a,M005,P034,clinical_officer,2025-02-05,CME_session,routine_delivery,15,6,4,4,2,beginner,True,repeat_drill
S00070,F020,F020 Facility,Nairobi,M019,P039,clinical_officer,2025-06-21,simulation_drill,PPH,14,10,5,3,5,intermediate,True,none
S00071,F010,F010 Facility,Bungoma,M009,P035,clinical_officer,2025-02-02,simulation_drill,PPH,13,11,3,4,3,intermediate,True,none
S00072,F022,F022 Facility,Nairobi,M019,P032,nurse_midwife,2025-06-12,simulation_drill,PPH,10,8,3,3,2,intermediate,True,none
S00073,F006,F006 Facility,Kiambu,M017,P046,nurse_midwife,2024-08-03,bedside_coaching,routine_delivery,13,5,4,2,4,beginner,True,repeat_drill
S00074,F010,F010 Facility,Kiambu,M008,P063,nurse_midwife,2024-01-02,CME_session,sepsis,14,9,5,5,4,intermediate,True,none
S00075,F003,F003 Facility,Nairobi,M006,P093,clinical_officer,2024-01-28,bedside_coaching,eclampsia,8,4,4,5,4,beginner,True,repeat_drill
S00076,F008,F008 Facility,Machakos,M018,P040,clinical_officer,2024-10-05,CME_session,eclampsia,14,12,2,2,3,advanced,False,none
S00077,F005,F005 Facility,Murang'a,M012,P104,clinical_officer,2024-09-05,bedside_coaching,sepsis,11,10,5,3,2,advanced,False,none
S00078,F024,F024 Facility,Kisumu,M006,P010,clinical_officer,2024-10-11,bedside_coaching,routine_delivery,16,11,5,3,3,intermediate,True,none
S00079,F009,F009 Facility,Murang'a,M003,P020,clinical_officer,2025-01-09,CME_session,routine_delivery,9,7,3,3,3,intermediate,True,none
S00080,F001,F001 Facility,Busia,M004,P017,clinical_officer,2025-04-23,simulation_drill,sepsis,16,6,5,2,5,beginner,True,repeat_drill
S00081,F016,F016 Facility,Machakos,M011,P039,clinical_officer,2024-11-29,CME_session,routine_delivery,12,8,5,2,2,intermediate,True,none
S00082,F008,F008 Facility,Kiambu,M016,P027,nurse_midwife,2024-02-12,simulation_drill,neonatal_resuscitation,13,12,3,5,4,advanced,False,none
S00083,F011,F011 Facility,Bungoma,M014,P068,clinical_officer,2025-01-15,CME_session,eclampsia,11,9,2,2,2,intermediate,True,none
S00084,F007,F007 Facility,Kisumu,M017,P092,clinical_officer,2024-05-18,bedside_coaching,eclampsia,16,15,3,5,4,advanced,False,none
S00085,F002,F002 Facility,Machakos,M005,P050,clinical_officer,2024-07-07,simulation_drill,PPH,15,7,3,3,5,beginner,True,repeat_drill
S00086,F027,F027 Facility,Machakos,M016,P032,clinical_officer,2025-02-28,CME_session,neonatal_resuscitation,16,12,5,2,5,intermediate,True,none
S00087,F021,F021 Facility,Kisumu,M004,P073,clinical_officer,2024-09-30,simulation_drill,eclampsia,8,8,4,5,3,advanced,False,none
S00088,F007,F007 Facility,Kisumu,M003,P111,nurse_midwife,2025-06-04,bedside_coaching,PPH,8,4,2,2,2,beginner,True,repeat_drill
S00089,F018,F018 Facility,Machakos,M012,P031,nurse_midwife,2024-06-19,simulation_drill,routine_delivery,10,5,3,4,5,beginner,True,repeat_drill
S00090,F025,F025 Facility,Nairobi,M001,P038,clinical_officer,2025-01-27,simulation_drill,sepsis,16,15,2,2,2,advanced,False,none
S00091,F010,F010 Facility,Busia,M015,P106,clinical_officer,2025-08-01,CME_session,PPH,16,7,2,5,3,beginner,True,repeat_drill
S00092,F019,F019 Facility,Nairobi,M002,P095,clinical_officer,2025-06-11,CME_session,routine_delivery,14,11,4,5,5,intermediate,True,none
S00093,F025,F025 Facility,Nairobi,M004,P055,nurse_midwife,2024-09-01,bedside_coaching,PPH,10,7,3,4,4,intermediate,True,none
S00094,F001,F001 Facility,Bungoma,M015,P101,nurse_midwife,2024-12-23,simulation_drill,neonatal_resuscitation,11,7,2,5,4,intermediate,True,none
S00095,F025,F025 Facility,Kisumu,M018,P054,clinical_officer,2025-04-23,bedside_coaching,neonatal_resuscitation,14,9,5,2,4,intermediate,True,none
S00096,F006,F006 Facility,Kakamega,M001,P108,nurse_midwife,2024-08-04,bedside_coaching,neonatal_resuscitation,8,4,3,5,4,beginner,True,repeat_drill
S00097,F016,F016 Facility,Kiambu,M017,P104,nurse_midwife,2024-07-14,simulation_drill,eclampsia,8,5,4,3,3,intermediate,True,none
S00098,F016,F016 Facility,Bungoma,M008,P035,clinical_officer,2024-02-15,simulation_drill,neonatal_resuscitation,10,5,4,2,5,beginner,True,repeat_drill
S00099,F016,F016 Facility,Bungoma,M014,P105,clinical_officer,2024-03-21,simulation_drill,PPH,13,13,2,2,4,advanced,False,none
S00100,F020,F020 Facility,Kiambu,M009,P064,nurse_midwife,2024-08-08,CME_session,eclampsia,9,7,4,2,4,intermediate,True,none
S00101,F002,F002 Facility,Machakos,M003,P041,clinical_officer,2024-12-25,CME_session,routine_delivery,14,10,2,2,5,intermediate,True,none
S00102,F012,F012 Facility,Busia,M004,P089,nurse_midwife,2024-04-22,CME_session,eclampsia,13,12,3,3,5,advanced,False,none
S00103,F002,F002 Facility,Kakamega,M018,P120,clinical_officer,2024-01-17,simulation_drill,eclampsia,12,7,2,3,4,beginner,True,repeat_drill
S00104,F023,F023 Facility,Kakamega,M020,P029,nurse_midwife,2025-02-16,CME_session,neonatal_resuscitation,9,6,4,5,2,intermediate,True,none
S00105,F003,F003 Facility,Busia,M016,P085,nurse_midwife,2024-03-09,simulation_drill,sepsis,15,7,4,3,5,beginner,True,repeat_drill
S00106,F002,F002 Facility,Kisumu,M019,P063,nurse_midwife,2024-07-07,bedside_coaching,routine_delivery,12,12,3,2,2,advanced,False,none
S00107,F018,F018 Facility,Machakos,M016,P060,clinical_officer,2025-03-04,CME_session,routine_delivery,14,8,2,5,2,beginner,True,repeat_drill
S00108,F010,F010 Facility,Kiambu,M013,P002,clinical_officer,2025-01-28,bedside_coaching,PPH,16,12,2,3,3,intermediate,True,none
S00109,F028,F028 Facility,Kiambu,M017,P056,clinical_officer,2024-08-12,bedside_coaching,routine_delivery,8,6,3,2,5,intermediate,True,none
S00110,F011,F011 Facility,Murang'a,M007,P015,clinical_officer,2025-08-15,simulation_drill,routine_delivery,11,10,5,2,5,advanced,False,none
S00111,F004,F004 Facility,Busia,M014,P028,clinical_officer,2024-11-20,CME_session,neonatal_resuscitation,13,12,5,4,3,advanced,False,none
S00112,F006,F006 Facility,Nairobi,M011,P068,nurse_midwife,2024-02-25,simulation_drill,eclampsia,14,7,4,2,5,beginner,True,repeat_drill
S00113,F012,F012 Facility,Bungoma,M010,P079,nurse_midwife,2024-02-10,CME_session,routine_delivery,11,8,4,3,4,intermediate,True,none
S00114,F018,F018 Facility,Murang'a,M006,P120,clinical_officer,2025-03-29,CME_session,eclampsia,9,6,4,2,5,intermediate,True,none
S00115,F019,F019 Facility,Murang'a,M018,P012,clinical_officer,2025-04-30,simulation_drill,sepsis,10,8,5,2,2,intermediate,True,none
S00116,F001,F001 Facility,Murang'a,M002,P118,clinical_officer,2024-08-12,bedside_coaching,PPH,12,4,5,4,4,beginner,True,repeat_drill
S00117,F015,F015 Facility,Kakamega,M020,P009,clinical_officer,2025-06-25,simulation_drill,PPH,9,9,2,2,2,advanced,False,none
S00118,F029,F029 Facility,Kiambu,M006,P093,nurse_midwife,2024-10-09,CME_session,routine_delivery,11,5,2,4,2,beginner,True,repeat_drill
S00119,F003,F003 Facility,Kiambu,M006,P014,clinical_officer,2025-07-25,CME_session,PPH,11,11,3,5,5,advanced,False,none
S00120,F005,F005 Facility,Kakamega,M015,P091,clinical_officer,2024-10-22,bedside_coaching,sepsis,12,7,2,4,5,beginner,True,repeat_drill
S00121,F018,F018 Facility,Kiambu,M013,P043,clinical_officer,2024-11-12,bedside_coaching,PPH,13,7,2,4,5,beginner,True,repeat_drill
S00122,F024,F024 Facility,Kiambu,M017,P101,nurse_midwife,2024-08-16,CME_session,eclampsia,10,8,5,4,5,intermediate,True,none
S00123,F004,F004 Facility,Busia,M013,P070,nurse_midwife,2024-05-18,bedside_coaching,sepsis,16,16,5,2,5,advanced,False,none
S00124,F024,F024 Facility,Machakos,M001,P087,clinical_officer,2025-01-20,bedside_coaching,sepsis,15,13,4,5,4,advanced,False,none
S00125,F027,F027 Facility,Busia,M015,P063,clinical_officer,2025-05-08,simulation_drill,routine_delivery,15,11,2,2,5,intermediate,True,none
S00126,F011,F011 Facility,Nairobi,M007,P084,nurse_midwife,2025-05-01,simulation_drill,eclampsia,14,12,3,4,5,advanced,False,none
S00127,F025,F025 Facility,Kakamega,M016,P072,clinical_officer,2024-12-11,bedside_coaching,PPH,9,6,5,3,4,intermediate,True,none
S00128,F009,F009 Facility,Bungoma,M012,P020,nurse_midwife,2025-04-15,simulation_drill,eclampsia,8,8,2,3,3,advanced,False,none
S00129,F001,F001 Facility,Kisumu,M018,P075,nurse_midwife,2025-06-04,CME_session,PPH,16,13,3,3,4,intermediate,True,none
S00130,F011,F011 Facility,Busia,M017,P067,nurse_midwife,2025-05-25,CME_session,PPH,14,7,5,2,2,beginner,True,repeat_drill
S00131,F014,F014 Facility,Machakos,M003,P045,clinical_officer,2024-08-18,bedside_coaching,neonatal_resuscitation,11,11,2,5,4,advanced,False,none
S00132,F029,F029 Facility,Busia,M010,P070,clinical_officer,2025-05-14,simulation_drill,PPH,8,8,5,3,4,advanced,False,none
S00133,F020,F020 Facility,Kisumu,M007,P055,clinical_officer,2024-02-18,CME_session,neonatal_resuscitation,14,8,2,5,3,beginner,True,repeat_drill
S00134,F021,F021 Facility,Bungoma,M001,P065,clinical_officer,2024-06-16,CME_session,sepsis,15,7,2,2,3,beginner,True,repeat_drill
S00135,F005,F005 Facility,Kiambu,M015,P008,nurse_midwife,2024-03-19,CME_session,sepsis,13,11,2,5,2,intermediate,True,none
S00136,F001,F001 Facility,Kakamega,M002,P061,nurse_midwife,2025-06-12,CME_session,routine_delivery,13,8,2,3,3,intermediate,True,none
S00137,F003,F003 Facility,Murang'a,M011,P005,nurse_midwife,2024-11-15,bedside_coaching,PPH,9,7,2,5,3,intermediate,True,none
S00138,F010,F010 Facility,Kiambu,M009,P053,clinical_officer,2025-01-07,bedside_coaching,neonatal_resuscitation,15,8,2,3,3,beginner,True,repeat_drill
S00139,F028,F028 Facility,Murang'a,M003,P054,clinical_officer,2024-03-30,bedside_coaching,sepsis,13,11,5,3,2,intermediate,True,none
S00140,F023,F023 Facility,Murang'a,M017,P053,clinical_officer,2025-06-05,bedside_coaching,neonatal_resuscitation,14,7,2,2,5,beginner,True,repeat_drill
S00141,F030,F030 Facility,Kakamega,M006,P116,clinical_officer,2024-01-02,simulation_drill,routine_delivery,12,6,2,5,4,beginner,True,repeat_drill
S00142,F008,F008 Facility,Bungoma,M013,P084,clinical_officer,2025-03-13,CME_session,sepsis,12,7,5,2,3,beginner,True,repeat_drill
S00143,F009,F009 Facility,Kiambu,M005,P036,clinical_officer,2025-07-14,bedside_coaching,neonatal_resuscitation,12,11,2,4,3,advanced,False,none
S00144,F012,F012 Facility,Nairobi,M007,P045,nurse_midwife,2025-06-17,bedside_coaching,PPH,8,7,5,3,3,advanced,False,none
S00145,F020,F020 Facility,Kakamega,M007,P019,clinical_officer,2024-03-28,simulation_drill,PPH,14,9,4,2,3,intermediate,True,none
S00146,F014,F014 Facility,Kakamega,M016,P092,nurse_midwife,2025-07-28,simulation_drill,routine_delivery,11,9,3,2,4,intermediate,True,none
S00147,F002,F002 Facility,Kiambu,M019,P087,nurse_midwife,2024-09-06,bedside_coaching,eclampsia,14,7,4,3,3,beginner,True,repeat_drill
S00148,F028,F028 Facility,Bungoma,M004,P015,nurse_midwife,2024-10-27,CME_session,PPH,13,13,3,3,2,advanced,False,none
S00149,F029,F029 Facility,Nairobi,M018,P015,nurse_midwife,2024-06-23,bedside_coaching,neonatal_resuscitation,14,6,2,5,5,beginner,True,repeat_drill
S00150,F019,F019 Facility,Kiambu,M004,P088,clinical_officer,2024-01-09,bedside_coaching,routine_delivery,15,12,2,2,5,intermediate,True,none
S00151,F005,F005 Facility,Machakos,M011,P073,nurse_midwife,2024-09-11,CME_session,eclampsia,11,7,4,3,2,intermediate,True,none
S00152,F029,F029 Facility,Kisumu,M006,P092,clinical_officer,2024-05-20,CME_session,neonatal_resuscitation,11,7,4,2,4,intermediate,True,none
S00153,F023,F023 Facility,Nairobi,M015,P086,clinical_officer,2024-04-02,bedside_coaching,routine_delivery,12,5,3,3,2,beginner,True,repeat_drill
S00154,F018,F018 Facility,Machakos,M018,P021,nurse_midwife,2025-02-13,simulation_drill,sepsis,12,7,3,5,2,beginner,True,repeat_drill
S00155,F007,F007 Facility,Bungoma,M015,P113,nurse_midwife,2024-05-24,CME_session,eclampsia,12,11,3,3,3,advanced,False,none
S00156,F009,F009 Facility,Machakos,M018,P093,nurse_midwife,2025-02-06,CME_session,PPH,14,8,3,4,4,beginner,True,repeat_drill
S00157,F004,F004 Facility,Kakamega,M016,P105,clinical_officer,2025-05-03,bedside_coaching,routine_delivery,13,8,2,4,4,intermediate,True,none
S00158,F015,F015 Facility,Kakamega,M010,P028,clinical_officer,2024-10-02,simulation_drill,PPH,9,8,4,5,4,advanced,False,none
S00159,F022,F022 Facility,Nairobi,M012,P028,nurse_midwife,2025-08-15,simulation_drill,eclampsia,14,9,4,4,4,intermediate,True,none
S00160,F022,F022 Facility,Murang'a,M004,P074,clinical_officer,2024-11-22,simulation_drill,routine_delivery,12,10,5,5,4,intermediate,True,none
S00161,F030,F030 Facility,Kakamega,M018,P101,nurse_midwife,2024-11-25,CME_session,sepsis,15,8,2,5,5,beginner,True,repeat_drill
S00162,F006,F006 Facility,Kisumu,M014,P023,nurse_midwife,2024-01-27,bedside_coaching,eclampsia,8,6,5,5,2,intermediate,True,none
S00163,F009,F009 Facility,Kakamega,M010,P067,clinical_officer,2025-08-21,simulation_drill,sepsis,16,11,2,4,3,intermediate,True,none
S00164,F030,F030 Facility,Murang'a,M018,P018,nurse_midwife,2025-07-27,simulation_drill,routine_delivery,8,6,3,2,5,intermediate,True,none
S00165,F021,F021 Facility,Nairobi,M006,P005,nurse_midwife,2024-12-30,simulation_drill,PPH,16,12,2,4,3,intermediate,True,none
S00166,F007,F007 Facility,Kisumu,M003,P028,nurse_midwife,2024-06-09,bedside_coaching,routine_delivery,12,9,3,2,3,intermediate,True,none
S00167,F011,F011 Facility,Kiambu,M006,P022,clinical_officer,2025-07-28,simulation_drill,neonatal_resuscitation,8,6,5,3,4,intermediate,True,none
S00168,F026,F026 Facility,Kakamega,M002,P030,nurse_midwife,2024-06-23,bedside_coaching,PPH,11,6,2,5,5,beginner,True,repeat_drill
S00169,F021,F021 Facility,Nairobi,M018,P014,clinical_officer,2024-04-18,bedside_coaching,PPH,8,5,5,4,3,intermediate,True,none
S00170,F010,F010 Facility,Bungoma,M018,P102,clinical_officer,2025-08-12,simulation_drill,PPH,8,8,4,2,4,advanced,False,none
S00171,F003,F003 Facility,Machakos,M013,P006,nurse_midwife,2025-08-09,CME_session,routine_delivery,10,9,5,4,4,advanced,False,none
S00172,F030,F030 Facility,Kiambu,M012,P075,nurse_midwife,2024-08-28,bedside_coaching,neonatal_resuscitation,9,7,5,3,5,intermediate,True,none
S00173,F005,F005 Facility,Kisumu,M011,P078,clinical_officer,2025-06-02,bedside_coaching,routine_delivery,8,4,3,4,3,beginner,True,repeat_drill
S00174,F023,F023 Facility,Machakos,M014,P081,clinical_officer,2024-03-17,bedside_coaching,neonatal_resuscitation,15,14,3,4,4,advanced,False,none
S00175,F026,F026 Facility,Busia,M016,P007,nurse_midwife,2025-04-23,simulation_drill,routine_delivery,9,7,2,2,3,intermediate,True,none
S00176,F012,F012 Facility,Murang'a,M012,P080,nurse_midwife,2024-04-27,CME_session,sepsis,11,7,3,3,4,intermediate,True,none
S00177,F001,F001 Facility,Kisumu,M018,P093,clinical_officer,2025-03-06,simulation_drill,PPH,9,7,4,3,5,intermediate,True,none
S00178,F002,F002 Facility,Bungoma,M010,P019,nurse_midwife,2024-04-25,CME_session,routine_delivery,9,5,4,4,2,beginner,True,repeat_drill
S00179,F020,F020 Facility,Machakos,M019,P043,nurse_midwife,2025-05-02,simulation_drill,eclampsia,14,11,5,5,5,intermediate,True,none
S00180,F010,F010 Facility,Kiambu,M007,P101,clinical_officer,2024-09-27,simulation_drill,PPH,12,5,2,2,2,beginner,True,repeat_drill
S00181,F027,F027 Facility,Kiambu,M018,P022,nurse_midwife,2024-10-07,bedside_coaching,eclampsia,8,5,3,5,4,intermediate,True,none
S00182,F025,F025 Facility,Kakamega,M017,P078,nurse_midwife,2025-08-16,bedside_coaching,routine_delivery,13,7,4,4,2,beginner,True,repeat_drill
S00183,F015,F015 Facility,Kiambu,M013,P075,nurse_midwife,2024-08-06,bedside_coaching,neonatal_resuscitation,13,8,4,3,2,intermediate,True,none
S00184,F010,F010 Facility,Kakamega,M020,P113,nurse_midwife,2024-02-04,simulation_drill,sepsis,8,6,4,5,2,intermediate,True,none
S00185,F020,F020 Facility,Murang'a,M013,P061,nurse_midwife,2025-02-02,bedside_coaching,neonatal_resuscitation,11,5,2,3,2,beginner,True,repeat_drill
S00186,F015,F015 Facility,Kisumu,M019,P073,nurse_midwife,2025-03-16,bedside_coaching,PPH,8,7,2,2,5,advanced,False,none
S00187,F015,F015 Facility,Kiambu,M015,P080,clinical_officer,2025-01-13,simulation_drill,PPH,8,6,4,3,2,intermediate,True,none
S00188,F018,F018 Facility,Bungoma,M016,P038,clinical_officer,2024-12-28,CME_session,neonatal_resuscitation,13,9,3,3,2,intermediate,True,none
